country_code,location,pollutant,source_name,unit,value,last_updated,country_label,latitude,longitude
IN,"shivaji nagar, jhansi - uppcb",no2,caaqm,µg/m³,26.36,2022-10-31 07:30:00+05:30,india,25.4547,78.6039
IN,"himuda complex phase-1, baddi - hppcb",pm10,caaqm,µg/m³,68.0,2022-10-31 07:15:00+05:30,india,30.943887,76.801991
IN,"manipur university, imphal - manipur pcb",so2,caaqm,µg/m³,49.11,2022-10-15 15:15:00+05:30,india,24.7524239,93.92862179999999
IN,"somajiguda, hyderabad - tspcb",o3,caaqm,µg/m³,18.88,2022-10-16 21:30:00+05:30,india,17.417093999999995,78.45743700000001
IN,"mandir marg, delhi - dpcc",co,cpcb,µg/m³,7500.0,2018-02-21 22:15:00+05:30,india,28.6341,77.2005
IN,"lalbagh, dn park",pm2.5,cpcb,µg/m³,224.64,2018-02-22 09:30:00+05:30,india,26.84578611,80.93874444
IN,"lalbagh, dn park",no2,cpcb,µg/m³,109.32,2018-02-22 09:30:00+05:30,india,26.84578611,80.93874444
IN,"ihbas, delhi - cpcb",so2,cpcb,µg/m³,6.42,2018-02-22 08:15:00+05:30,india,28.6821,77.305
IN,"haldia, haldia - wbpcb",pm2.5,caaqm,µg/m³,24.39,2022-10-31 07:30:00+05:30,india,22.06047,88.109737
IN,city railway station - kspcb,co,cpcb,µg/m³,1510.0,2018-02-22 08:30:00+05:30,india,12.9773472,77.5706972222222
IN,"sector-6, panchkula - hspcb",co,caaqm,µg/m³,640.0,2022-10-31 07:15:00+05:30,india,30.7057778,76.8531805555555
IN,"bwssb kadabesanahalli, bengaluru - kspcb",co,cpcb,µg/m³,840.0,2018-02-22 08:30:00+05:30,india,12.93890556,77.69727222
IN,"sanathnagar, hyderabad - tspcb",so2,cpcb,µg/m³,8.4,2018-02-22 08:30:00+05:30,india,17.42329722,78.47469722
IN,"anand vihar, delhi - dpcc",o3,caaqm,µg/m³,7.6,2022-10-31 06:00:00+05:30,india,28.647622000000002,77.315809
IN,"punjab agricultural university, ludhiana - ppcb",o3,caaqm,µg/m³,8.71,2022-10-31 07:30:00+05:30,india,30.902800000000003,75.8086
IN,"collectorate, jodhpur - rspcb",pm10,caaqm,µg/m³,250.7,2022-10-31 07:15:00+05:30,india,26.268249,73.0193853
IN,"bollaram industrial area, hyderabad - tspcb",no2,caaqm,µg/m³,29.4,2022-10-31 07:30:00+05:30,india,17.540891,78.35852799999999
IN,"shastri nagar, jaipur - rspcb",co,caaqm,µg/m³,30.0,2022-10-31 07:15:00+05:30,india,26.950292899999997,75.73094300000001
IN,"suryakiran bhawan ncl, singrauli - mppcb",no2,caaqm,µg/m³,75.5,2022-10-16 21:30:00+05:30,india,24.10897,82.64558
IN,"nsit dwarka, delhi - cpcb",so2,caaqm,µg/m³,2.0,2022-10-31 07:30:00+05:30,india,28.60909,77.0325413
IN,"crri mathura road, delhi - imd",o3,caaqm,µg/m³,28.31,2022-10-31 06:45:00+05:30,india,28.5512005,77.2735737
IN,"gvm corporation, visakhapatnam - appcb",o3,caaqm,µg/m³,15.8,2022-10-31 07:30:00+05:30,india,17.72,83.3
IN,"maninagar, ahmedabad - gpcb",o3,caaqm,µg/m³,0.64,2022-10-31 07:15:00+05:30,india,23.002657,72.591912
IN,"shrinath puram, kota - rspcb",no2,caaqm,µg/m³,9.54,2022-10-31 07:30:00+05:30,india,25.14389,75.821256
IN,"sanegurava halli, bengaluru - kspcb",so2,caaqm,µg/m³,5.22,2022-10-31 07:30:00+05:30,india,12.990328,77.5431385
IN,"ward-32 bapupara, siliguri - wbpcb",o3,caaqm,µg/m³,24.91,2022-10-31 07:15:00+05:30,india,26.6883049,88.412668
IN,"central school, lucknow - cpcb",pm2.5,caaqm,µg/m³,111.9,2022-10-31 07:15:00+05:30,india,26.8821003,80.9302753
IN,"patparganj, delhi - dpcc",pm2.5,caaqm,µg/m³,67.0,2018-05-13 17:00:00+05:30,india,28.6310495,77.2846218
IN,"vivek vihar, delhi - dpcc",o3,caaqm,µg/m³,181.1,2018-05-10 14:30:00+05:30,india,28.6687803,77.3130982
