country_code,location,pollutant,source_name,unit,value,last_updated,country_label,latitude,longitude,date,year,month,hour,weekday,is_weekend
IN,"mayaganj, bhagalpur - bspcb",no2,caaqm,µg/m³,92.7,2022-10-31 07:15:00+05:30,india,25.265194000000005,87.012947,2022-10-31,2022,10,7,Monday,False
IN,"chitragupta nagar, siwan - bspcb",so2,caaqm,µg/m³,13.9,2022-10-31 07:15:00+05:30,india,26.2271665,84.35704269999998,2022-10-31,2022,10,7,Monday,False
IN,"kharahiya basti, araria - bspcb",o3,caaqm,µg/m³,3.7,2022-10-31 07:15:00+05:30,india,26.146529,87.454184,2022-10-31,2022,10,7,Monday,False
IN,"eco herbal park, moradabad - uppcb",so2,caaqm,µg/m³,14.8,2022-10-31 07:30:00+05:30,india,28.840739,78.69753100000001,2022-10-31,2022,10,7,Monday,False
IN,"sector-53, chandigarh - cpcc",no2,caaqm,µg/m³,15.1,2022-10-31 07:15:00+05:30,india,30.719859,76.738637,2022-10-31,2022,10,7,Monday,False
IN,"himuda complex phase-1, baddi - hppcb",no2,caaqm,µg/m³,8.7,2022-10-31 07:15:00+05:30,india,30.943887,76.801991,2022-10-31,2022,10,7,Monday,False
IN,"gurdeo nagar, aurangabad - bspcb",pm2.5,caaqm,µg/m³,63.0,2022-10-31 07:15:00+05:30,india,24.75746,84.366208,2022-10-31,2022,10,7,Monday,False
IN,"drcc anandpur, begusarai - bspcb",o3,caaqm,µg/m³,24.0,2022-10-31 07:15:00+05:30,india,25.444266,86.140169,2022-10-31,2022,10,7,Monday,False
IN,"anand vihar, delhi - dpcc",so2,cpcb,µg/m³,8.9,2018-02-22 02:45:00+05:30,india,28.6508,77.3152,2018-02-22,2018,2,2,Thursday,False
IN,"md university, rohtak - hspcb",no2,cpcb,µg/m³,17.0,2018-02-22 09:15:00+05:30,india,28.876028,76.619464,2018-02-22,2018,2,9,Thursday,False
IN,"haldia, haldia - wbpcb",no2,caaqm,µg/m³,16.52,2022-10-31 07:30:00+05:30,india,22.06047,88.109737,2022-10-31,2022,10,7,Monday,False
IN,chandrapur,pm10,cpcb,µg/m³,179.0,2018-02-22 09:30:00+05:30,india,19.95,79.3,2018-02-22,2018,2,9,Thursday,False
IN,victoria memorial - wbspcb,so2,cpcb,µg/m³,5.09,2017-10-18 08:45:00+05:30,india,22.572646,88.36389499999996,2017-10-18,2017,10,8,Wednesday,False
IN,iit,pm2.5,cpcb,µg/m³,70.0,2018-02-22 09:15:00+05:30,india,12.99251389,80.23744722,2018-02-22,2018,2,9,Thursday,False
IN,aaqms karve road pune,co,cpcb,µg/m³,1220.0,2018-02-22 08:30:00+05:30,india,18.497484,73.81349,2018-02-22,2018,2,8,Thursday,False
IN,aaqms karve road pune,pm10,cpcb,µg/m³,165.0,2018-02-22 08:30:00+05:30,india,18.497484,73.81349,2018-02-22,2018,2,8,Thursday,False
